Borough,Median Income,House Price,Years to Purchase a House on Median Income,Population,Area,Population density
Westminster,39564,2973004,75.1,261317,8.29,31522
City of London,97149,790291,8.1,9721,1.19,8169
Kensington and Chelsea,39566,2188257,55.3,156129,4.68,33361
Hammersmith and Fulham,37003,945034,25.5,185143,6.33,29248
Wandsworth,37981,827787,21.8,329677,13.23,24919
Lambeth,35385,984468,27.8,326034,13.57,24026
Southwark,33873,553470,16.3,318830,11.14,28620
Tower Hamlets,35965,582073,16.2,324745,7.63,42562
Hackney,29164,572278,19.6,281120,7.36,38196
Islington,34833,854388,24.5,242467,5.74,42242
Camden,35168,1186654,33.7,270029,8.4,32146
Ealing,28996,528623,18.2,341806,21.44,15942
Hounslow,26821,437179,16.3,271523,21.61,12565
Bromley,33595,484466,14.4,332336,57.97,5733
Croydon,32463,406896,12.5,386710,33.41,11575
Lewisham,29639,453295,15.3,305842,13.57,22538
Bexley,29279,390342,13.3,248287,23.38,10620
Greenwich,31101,420364,13.5,287942,18.28,15752
Havering,30400,396397,13.0,259552,43.35,5987
Barking and Dagenham,26730,331894,12.4,212906,13.93,15284
Enfield,27288,431074,15.8,333794,31.74,10517
Barnet,29739,578382,19.4,395896,33.49,11821
Haringey,28685,585338,20.4,268647,11.42,23524
Harrow,31048,517508,16.7,251160,19.49,12887
Brent,27531,518129,18.8,329771,16.7,19747
Hillingdon,30236,436916,14.5,306870,44.67,6870
Kingston upon Thames,35167,792562,22.5,177507,14.38,12344
Merton,29696,580896,19.6,206548,14.57,14176
Newham,30342,399596,13.2,353134,13.98,25260
Redbridge,31507,479896,15.2,305222,21.78,14014
Richmond upon Thames,36372,952042,26.2,198019,22.17,8932
Sutton,29424,495704,16.8,206349,16.93,12188
Waltham Forest,31996,484621,15.1,276983,14.99,18478